neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,2019-01-03,0.87,3,219
Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,2012-11-01,0.6,1,312
Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,2017-12-11,0.13,1,164
Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,2015-12-02,0.38,1,260
Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,2019-04-27,0.27,1,199
Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,2019-06-26,0.12,1,224
Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,2018-10-05,0.08,1,324
Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,2011-09-18,0.08,1,245
Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,2017-08-15,0.19,1,189
Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,2019-05-14,0.58,2,310
Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,2019-06-14,0.29,1,16
Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,2019-05-26,0.45,3,234
Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,2019-01-01,0.02,1,178
Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,2018-06-11,0.1,1,280
Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,2011-09-19,0.01,1,1
Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,2019-07-02,0.11,1,188
Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,2019-06-17,0.28,1,248
Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,2017-05-29,0.32,1,10
Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,2018-12-27,0.25,1,189
Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,2011-04-25,0.13,1,189
Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,2016-09-23,0.08,1,365
Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,2019-06-19,0.94,1,37
Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,2019-04-08,0.58,1,1
Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,2019-06-05,0.5,1,18
Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,2019-06-24,0.48,3,250
Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,2019-06-26,0.38,1,299
Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,2019-05-20,0.49,2,365
Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,2014-01-07,0.09,1,363
Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,2019-07-01,0.22,1,91
Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,2019-06-13,0.65,1,58
Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,2019-06-17,0.16,1,292
Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,2019-05-24,0.07,1,351
Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,2019-05-17,0.26,1,272
Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,2019-05-08,0.3,1,341
Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,2019-01-02,0.39,1,244
Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,2019-05-19,0.67,1,12
Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,2019-07-01,0.18,2,265
Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,5,10,2019-05-11,0.1,1,91
Manhattan,Harlem,40.81583,-73.94707,Private room,175,2,1,2018-10-07,0.11,1,365
Brooklyn,Kensington,40.64106,-73.97426,Private room,39,1,45,2019-05-16,0.46,2,365
Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,Private room,75,5,64,2019-01-05,0.67,1,68
Manhattan,East Village,40.72956,-73.98158,Entire home/apt,129,7,5,2019-01-03,0.15,1,231
Manhattan,Harlem,40.82888,-73.94307,Private room,75,3,20,2019-01-02,0.26,1,364
Brooklyn,Park Slope,40.67319,-73.97323,Entire home/apt,175,2,11,2013-05-02,0.11,1,246
Brooklyn,Carroll Gardens,40.67846,-73.99443,Entire home/apt,190,3,51,2019-07-01,0.57,1,288
Manhattan,East Village,40.72681,-73.98534,Entire home/apt,212,3,67,2019-06-25,1.31,1,51
Brooklyn,Williamsburg,40.71031,-73.9583,Entire home/apt,140,2,9,2019-02-16,0.11,1,254
Brooklyn,Gowanus,40.68076,-73.9896,Entire home/apt,190,3,69,2019-07-01,0.79,2,258
Brooklyn,Greenpoint,40.73119,-73.95578,Private room,125,3,6,2016-11-13,0.1,1,325
Brooklyn,Bushwick,40.70514,-73.91922,Private room,70,5,47,2019-06-29,0.49,1,203
Manhattan,East Village,40.73198,-73.98881,Private room,65,3,52,2019-01-10,0.63,1,5
Manhattan,Washington Heights,40.83494,-73.93869,Entire home/apt,250,3,32,2019-05-24,0.43,2,276
Brooklyn,Greenpoint,40.72898,-73.95552,Entire home/apt,229,1,50,2014-05-13,0.5,1,188
Brooklyn,Greenpoint,40.72646,-73.95341,Private room,59,3,29,2019-06-16,0.36,1,15
Brooklyn,Williamsburg,40.71015,-73.96101,Entire home/apt,195,4,59,2019-06-23,0.6,1,71
Brooklyn,Williamsburg,40.71903,-73.9597,Entire home/apt,169,1,68,2019-06-07,0.67,2,215
Manhattan,Hell's Kitchen,40.76248,-73.9913,Private room,150,3,36,2019-06-14,0.36,1,49
Brooklyn,Bedford-Stuyvesant,40.6824,-73.94615,Entire home/apt,185,3,46,2019-07-02,1.07,1,248
Queens,Astoria,40.75961,-73.91117,Private room,80,1,42,2019-07-06,1.21,2,365
Brooklyn,Bedford-Stuyvesant,40.69465,-73.95458,Entire home/apt,200,5,4,2018-12-26,0.07,1,9
Brooklyn,Clinton Hill,40.68413,-73.96542,Private room,165,4,11,2019-06-07,0.11,3,365
Manhattan,Kips Bay,40.73877,-73.97707,Entire home/apt,125,4,1,2012-01-03,0.01,3,181
Queens,Queens Village,40.72413,-73.76133,Private room,50,1,43,2019-07-08,0.45,1,88
Manhattan,Upper West Side,40.77944,-73.98567,Entire home/apt,120,5,49,2019-06-19,0.56,1,201
Brooklyn,Crown Heights,40.67539,-73.96093,Entire home/apt,165,7,3,2013-01-01,0.03,1,157
Manhattan,Upper East Side,40.78491,-73.9508,Entire home/apt,225,2,56,2018-12-28,0.57,1,312
Manhattan,Lower East Side,40.71895,-73.99434,Entire home/apt,211,1,52,2019-06-08,0.6,3,361
Queens,Astoria,40.76434,-73.92132,Entire home/apt,110,4,30,2019-06-16,0.32,1,363
Brooklyn,Bedford-Stuyvesant,40.68448,-73.92747,Entire home/apt,110,4,70,2019-06-28,0.75,1,283
Manhattan,Chelsea,40.74412,-74.00208,Private room,290,2,35,2019-01-03,0.36,1,20
Brooklyn,Williamsburg,40.70665,-73.94061,Entire home/apt,190,4,50,2019-07-02,0.51,1,331
Brooklyn,Williamsburg,40.72063,-73.95952,Entire home/apt,200,2,29,2019-06-23,0.31,1,36
Brooklyn,Park Slope,40.67644,-73.98082,Entire home/apt,165,2,23,2016-05-02,0.23,2,7
Brooklyn,Bedford-Stuyvesant,40.68569,-73.93038,Private room,99,2,38,2019-06-03,0.54,2,307
Queens,Forest Hills,40.70925,-73.85262,Entire home/apt,97,3,28,2019-07-01,1.21,3,209
Brooklyn,Park Slope,40.67632,-73.97616,Entire home/apt,250,7,18,2019-05-27,0.21,1,18
Brooklyn,Greenpoint,40.72212,-73.94254,Entire home/apt,141,5,8,2018-07-08,0.21,1,9
Manhattan,East Village,40.72274,-73.97581,Entire home/apt,185,2,69,2019-05-26,0.71,1,233
Manhattan,Nolita,40.72094,-73.99706,Entire home/apt,175,3,68,2019-06-10,0.69,1,277
Brooklyn,Windsor Terrace,40.65749,-73.97675,Entire home/apt,250,4,52,2019-04-27,0.72,1,188
Manhattan,East Village,40.72674,-73.9782,Private room,95,7,25,2019-02-12,0.3,1,359
Manhattan,Harlem,40.82426,-73.9463,Private room,75,3,38,2018-05-08,0.42,3,365
Brooklyn,Clinton Hill,40.68288,-73.96024,Private room,75,3,43,2019-05-20,0.44,2,365
Brooklyn,Bedford-Stuyvesant,40.67963,-73.93908,Private room,88,1,64,2019-07-01,0.68,3,238
Brooklyn,Bedford-Stuyvesant,40.6798,-73.93908,Private room,80,1,39,2019-06-24,0.41,3,218
Brooklyn,Crown Heights,40.67212,-73.9506,Entire home/apt,130,2,29,2019-06-28,0.35,1,119
Manhattan,Harlem,40.80523,-73.95139,Entire home/apt,198,5,42,2019-06-03,0.44,2,234
Manhattan,SoHo,40.72351,-73.99683,Private room,140,2,54,2019-06-16,0.56,1,221
Manhattan,Morningside Heights,40.80525,-73.95916,Private room,75,5,57,2019-01-01,0.59,2,201
Manhattan,Washington Heights,40.84468,-73.94303,Private room,75,2,34,2019-06-15,0.35,1,222
Manhattan,East Harlem,40.80113,-73.94503,Entire home/apt,250,2,11,2016-01-02,0.12,2,68
Manhattan,Harlem,40.82411,-73.94934,Private room,65,2,41,2019-06-16,0.43,2,59
Brooklyn,Fort Greene,40.68768,-73.97611,Private room,85,2,35,2019-07-02,0.55,2,161
Manhattan,Harlem,40.80224,-73.94558,Private room,170,2,17,2015-10-01,0.18,2,88
Manhattan,Lower East Side,40.71473,-73.98842,Private room,115,3,3,2016-02-15,0.04,2,337
Manhattan,Harlem,40.80518,-73.95359,Private room,89,5,43,2018-01-03,0.47,2,247
Brooklyn,Crown Heights,40.67505,-73.95969,Entire home/apt,97,3,31,2018-10-23,0.32,1,193
Manhattan,East Village,40.72974,-73.98201,Private room,100,4,49,2019-05-07,0.51,2,43
Brooklyn,Williamsburg,40.70925,-73.95425,Entire home/apt,179,4,23,2019-04-13,0.24,1,25
Manhattan,Nolita,40.72133,-73.99666,Entire home/apt,300,1,6,2019-06-28,0.06,3,115
Brooklyn,Prospect Heights,40.68262,-73.97299,Entire home/apt,170,3,67,2018-10-20,0.7,1,129
Manhattan,Chelsea,40.74695,-74.00454,Private room,255,4,1,2014-04-20,0.02,1,365
Manhattan,Upper East Side,40.76684,-73.95944,Entire home/apt,169,7,39,2019-07-07,0.41,1,44
Brooklyn,Bedford-Stuyvesant,40.68967,-73.95445,Entire home/apt,160,3,42,2019-05-18,0.44,1,355
Brooklyn,Prospect Heights,40.67946,-73.96501,Entire home/apt,215,3,33,2019-05-08,0.35,1,156
Manhattan,Upper West Side,40.7969,-73.96128,Private room,89,6,35,2017-06-18,0.37,1,180
Brooklyn,Williamsburg,40.70275,-73.94501,Private room,85,1,46,2018-12-30,0.97,1,59
Manhattan,Harlem,40.82922,-73.94174,Private room,75,3,50,2019-03-30,0.65,2,38
Brooklyn,Williamsburg,40.7093,-73.9497,Private room,100,6,8,2015-09-17,0.09,1,249
Brooklyn,Bushwick,40.68364,-73.91076,Private room,41,2,55,2019-04-30,0.59,1,286
Brooklyn,Bedford-Stuyvesant,40.69025,-73.93323,Entire home/apt,145,3,30,2019-06-24,0.32,3,11
Brooklyn,Bushwick,40.70051,-73.92204,Private room,40,1,1,2019-04-21,0.37,1,5
Staten Island,Emerson Hill,40.60742,-74.14388,Private room,80,2,2,2018-02-08,0.05,1,158
Manhattan,Upper West Side,40.79816,-73.9619,Entire home/apt,300,2,45,2019-04-22,0.47,3,31
Manhattan,Harlem,40.8078,-73.95208,Private room,80,7,19,2019-06-03,0.35,1,285
Brooklyn,Bensonhurst,40.61922,-73.99399,Entire home/apt,110,1,24,2019-01-19,0.26,1,183
Brooklyn,Clinton Hill,40.68275,-73.96148,Entire home/apt,172,4,8,2017-10-14,0.09,2,189
Manhattan,Lower East Side,40.71813,-73.98416,Entire home/apt,199,1,29,2015-06-03,0.31,2,162
Manhattan,Lower East Side,40.71892,-73.98401,Entire home/apt,199,1,14,2015-07-20,0.15,2,158
Manhattan,Harlem,40.816,-73.95545,Private room,100,1,33,2019-05-25,0.38,1,84
Manhattan,Chelsea,40.74233,-73.99865,Entire home/apt,199,4,32,2019-05-08,0.34,1,28
Brooklyn,Prospect Heights,40.67424,-73.96665,Entire home/apt,150,5,24,2019-06-23,0.25,1,363
Manhattan,Harlem,40.80486,-73.95298,Private room,69,1,59,2018-10-26,0.63,2,86
Manhattan,West Village,40.73507,-74.00048,Entire home/apt,225,3,13,2019-05-26,0.15,1,83
Brooklyn,Bedford-Stuyvesant,40.67964,-73.93946,Entire home/apt,100,7,63,2019-06-26,1.87,1,321
Manhattan,Hell's Kitchen,40.76189,-73.99,Private room,130,2,52,2018-08-14,0.55,1,303
Brooklyn,Bedford-Stuyvesant,40.69046,-73.95167,Entire home/apt,80,2,35,2019-06-09,0.4,1,36
Manhattan,SoHo,40.72599,-74.00168,Private room,270,5,1,2013-07-09,0.01,1,210
Queens,Ridgewood,40.70163,-73.90867,Private room,55,1,19,2018-07-31,0.25,1,311
Manhattan,Midtown,40.75575,-73.96842,Private room,110,2,61,2019-05-18,0.65,1,264
Brooklyn,Bedford-Stuyvesant,40.69221,-73.95866,Entire home/apt,110,6,8,2019-01-03,0.33,1,4
Manhattan,West Village,40.72969,-74.00635,Entire home/apt,200,2,37,2019-01-02,0.39,1,257
Brooklyn,Bedford-Stuyvesant,40.68016,-73.94878,Entire home/apt,280,3,5,2017-07-09,0.05,1,365
Manhattan,Chelsea,40.75127,-73.99637,Entire home/apt,226,5,34,2019-07-01,0.39,1,302
Brooklyn,Crown Heights,40.67607,-73.94421,Private room,85,3,5,2016-10-02,0.05,1,281
Queens,Elmhurst,40.7347,-73.88066,Entire home/apt,79,4,60,2019-06-25,0.64,2,297
Manhattan,Harlem,40.81068,-73.94288,Private room,125,1,11,2017-09-25,0.12,2,365
Brooklyn,Brighton Beach,40.58147,-73.96726,Private room,69,1,2,2015-06-25,0.04,1,303
Manhattan,Upper West Side,40.79771,-73.96323,Entire home/apt,185,2,16,2019-06-28,0.23,1,261
Queens,Jackson Heights,40.74965,-73.89344,Private room,54,5,56,2019-07-06,0.66,3,365
Brooklyn,Bedford-Stuyvesant,40.68338,-73.95289,Entire home/apt,130,3,18,2019-06-18,0.25,1,1
Manhattan,Financial District,40.70523,-74.01345,Private room,101,7,51,2019-06-02,0.55,1,307
Brooklyn,East Flatbush,40.64468,-73.94219,Entire home/apt,92,4,54,2019-06-24,0.62,1,27
Manhattan,Lower East Side,40.7193,-73.98966,Private room,80,5,10,2018-12-31,0.46,1,348
Manhattan,Harlem,40.82151,-73.94516,Entire home/apt,155,1,1,2019-01-27,0.18,1,5
Brooklyn,Crown Heights,40.6711,-73.95231,Private room,99,2,20,2019-06-09,0.59,1,98
Manhattan,Lower East Side,40.71992,-73.98773,Entire home/apt,195,4,68,2019-06-03,0.77,1,271
Bronx,Wakefield,40.89557,-73.8447,Private room,50,2,15,2019-06-09,0.17,1,337
Brooklyn,Kensington,40.64277,-73.97296,Private room,60,2,20,2019-01-21,0.42,1,347
Manhattan,East Harlem,40.79111,-73.94466,Private room,99,3,25,2019-06-15,0.96,2,127
Manhattan,Harlem,40.79951,-73.95257,Entire home/apt,130,2,35,2019-05-27,0.42,1,41
Brooklyn,Crown Heights,40.66431,-73.93216,Private room,50,3,26,2019-02-16,0.33,1,158
Manhattan,East Village,40.72454,-73.99151,Entire home/apt,250,3,24,2019-06-27,0.26,1,16
Brooklyn,Williamsburg,40.71073,-73.96207,Private room,190,1,30,2019-06-28,0.33,2,365
Brooklyn,Williamsburg,40.71028,-73.96128,Private room,75,2,5,2015-09-07,0.06,2,365
Brooklyn,Bedford-Stuyvesant,40.68884,-73.95059,Private room,60,5,9,2019-06-25,0.19,2,33
Manhattan,Upper East Side,40.76373,-73.96897,Entire home/apt,300,3,5,2018-12-31,0.08,1,27
Manhattan,East Village,40.72257,-73.98465,Entire home/apt,299,3,49,2018-10-27,0.53,1,365
Brooklyn,Greenpoint,40.72723,-73.95728,Private room,60,4,6,2019-04-21,0.07,1,303
Brooklyn,Williamsburg,40.70513,-73.95505,Private room,60,2,35,2019-06-30,0.38,2,161
Manhattan,Harlem,40.80285,-73.95166,Private room,99,2,54,2019-06-24,0.88,1,50
Brooklyn,Clinton Hill,40.68156,-73.96537,Entire home/apt,135,5,6,2019-06-24,0.13,1,317
Brooklyn,Greenpoint,40.72868,-73.95835,Private room,75,7,15,2019-06-08,0.25,3,365
Manhattan,Harlem,40.82977,-73.94071,Entire home/apt,300,3,2,2018-04-10,0.06,1,365
Brooklyn,Bedford-Stuyvesant,40.68255,-73.91957,Entire home/apt,100,3,63,2019-06-18,0.72,2,5
Brooklyn,Bedford-Stuyvesant,40.68106,-73.9292,Private room,97,3,29,2019-06-25,1.57,1,118
Brooklyn,Gowanus,40.68131,-73.98879,Entire home/apt,91,6,69,2019-06-21,0.76,1,265
Manhattan,East Village,40.7241,-73.97899,Entire home/apt,180,7,24,2018-08-10,0.26,2,125
Brooklyn,South Slope,40.66441,-73.97974,Private room,65,4,36,2018-11-12,0.47,2,80
Brooklyn,Bedford-Stuyvesant,40.68991,-73.93179,Entire home/apt,100,3,21,2019-06-24,0.23,3,43
Brooklyn,Williamsburg,40.70839,-73.94289,Entire home/apt,120,6,66,2019-05-01,0.72,2,17
Brooklyn,Fort Greene,40.69018,-73.98107,Entire home/apt,175,3,35,2019-06-27,0.4,1,289
Queens,Long Island City,40.75295,-73.93228,Private room,65,2,5,2014-09-09,0.06,1,362
Brooklyn,Greenpoint,40.71947,-73.95252,Entire home/apt,250,4,46,2019-06-23,0.52,1,121
Manhattan,Upper West Side,40.77338,-73.98887,Entire home/apt,209,7,14,2019-06-25,0.16,1,205
Brooklyn,Crown Heights,40.67385,-73.94405,Entire home/apt,120,5,37,2018-04-15,0.45,1,310
Manhattan,Hell's Kitchen,40.7625,-73.9869,Entire home/apt,199,3,4,2018-09-12,0.07,1,200
Brooklyn,Williamsburg,40.70736,-73.94331,Entire home/apt,157,4,54,2019-06-11,0.66,2,12
Manhattan,Upper West Side,40.7909,-73.96762,Entire home/apt,300,3,36,2019-05-01,0.47,1,29
Queens,Elmhurst,40.737,-73.87444,Private room,55,1,63,2019-05-18,0.89,2,341
Brooklyn,Williamsburg,40.70638,-73.96627,Private room,70,1,2,2018-01-02,0.05,1,363
Brooklyn,Greenpoint,40.72582,-73.95843,Entire home/apt,130,4,9,2018-04-02,0.1,1,188
Manhattan,Harlem,40.80637,-73.95433,Private room,140,2,44,2019-06-26,0.49,1,260
Manhattan,East Harlem,40.79596,-73.94463,Entire home/apt,90,3,51,2019-05-04,0.57,1,311
Manhattan,Upper West Side,40.77508,-73.9799,Entire home/apt,150,2,11,2019-06-09,0.13,1,2
Manhattan,Upper West Side,40.79044,-73.97513,Private room,99,3,14,2015-08-19,0.22,1,365
Staten Island,Clifton,40.62318,-74.07848,Private room,59,1,50,2019-06-03,0.56,1,352
Manhattan,Harlem,40.82286,-73.94596,Private room,75,3,33,2019-06-10,0.39,3,301
Manhattan,Harlem,40.82451,-73.94457,Private room,75,3,30,2019-01-01,0.35,3,322
Brooklyn,Bedford-Stuyvesant,40.69348,-73.95927,Private room,75,3,13,2019-01-31,0.15,1,298
Brooklyn,Crown Heights,40.67679,-73.95639,Entire home/apt,225,4,1,2013-04-21,0.01,1,342
Brooklyn,Prospect Heights,40.67339,-73.96519,Private room,100,2,61,2019-06-02,0.86,1,90
Brooklyn,Bedford-Stuyvesant,40.69213,-73.951,Entire home/apt,135,2,39,2019-06-09,0.47,2,293
Brooklyn,Kensington,40.64354,-73.97777,Entire home/apt,89,3,62,2019-01-02,0.71,1,189
Manhattan,Harlem,40.80343,-73.9531,Private room,110,3,47,2019-06-30,0.57,1,248
Brooklyn,Bushwick,40.70462,-73.9228,Entire home/apt,120,2,42,2019-06-20,0.48,1,238
Manhattan,Washington Heights,40.83456,-73.9457,Entire home/apt,115,3,18,2018-12-31,0.21,1,31
Manhattan,Upper East Side,40.77688,-73.96177,Private room,109,1,66,2017-12-10,0.94,1,353
Manhattan,Upper East Side,40.77471,-73.95574,Entire home/apt,159,2,32,2019-06-23,0.47,1,7
Manhattan,Kips Bay,40.74016,-73.97665,Entire home/apt,106,3,12,2019-06-30,0.14,1,271
Brooklyn,Crown Heights,40.66604,-73.95914,Entire home/apt,165,3,12,2019-07-07,0.13,1,343
Manhattan,Inwood,40.86658,-73.92558,Private room,87,7,46,2019-05-25,0.62,2,310
Brooklyn,Williamsburg,40.71179,-73.96449,Private room,79,4,42,2019-06-24,0.47,2,52
Manhattan,Harlem,40.82772,-73.93877,Private room,80,1,15,2019-06-24,0.21,1,329
Manhattan,Hell's Kitchen,40.75763,-73.99482,Private room,95,6,62,2019-06-01,0.76,2,80
Manhattan,Upper East Side,40.77631,-73.95289,Entire home/apt,121,1,16,2019-06-16,0.19,2,351
Manhattan,Harlem,40.83177,-73.95,Private room,89,1,56,2018-07-16,0.64,1,365
Manhattan,West Village,40.73104,-74.00879,Private room,195,1,7,2012-06-07,0.08,1,129
Brooklyn,Park Slope,40.67188,-73.97533,Entire home/apt,125,5,6,2018-11-04,0.08,1,31
Brooklyn,Prospect-Lefferts Gardens,40.65846,-73.95057,Private room,77,5,11,2019-06-23,0.13,3,365
Manhattan,East Village,40.72986,-73.97913,Entire home/apt,199,6,41,2019-06-07,0.47,1,36
Brooklyn,Prospect-Lefferts Gardens,40.66039,-73.95937,Private room,92,7,34,2019-04-07,0.39,1,332
Manhattan,Midtown,40.75407,-73.96713,Entire home/apt,110,7,27,2019-03-01,0.31,1,192
Brooklyn,Williamsburg,40.70712,-73.94013,Private room,65,4,30,2019-04-13,0.34,1,139
Brooklyn,Greenpoint,40.7376,-73.95678,Private room,120,5,3,2019-04-24,0.09,1,242
Brooklyn,Williamsburg,40.72212,-73.95696,Private room,129,3,63,2019-06-30,0.71,2,87
Manhattan,Hell's Kitchen,40.75643,-73.99046,Entire home/apt,200,7,13,2019-06-17,0.15,1,327
Brooklyn,Park Slope,40.67407,-73.98111,Entire home/apt,125,4,23,2019-04-30,0.67,2,262
Manhattan,Harlem,40.80491,-73.94866,Private room,160,3,10,2018-10-24,0.12,3,359
Manhattan,Harlem,40.80334,-73.94805,Private room,180,3,14,2019-04-04,0.16,3,348
Bronx,Spuyten Duyvil,40.87991,-73.91673,Entire home/apt,120,2,47,2019-07-03,1.22,1,318
Staten Island,Stapleton,40.62766,-74.07988,Private room,110,2,6,2019-01-01,0.19,1,363
Manhattan,Washington Heights,40.83434,-73.94027,Private room,99,3,4,2019-03-04,0.41,1,335
Queens,Ozone Park,40.68581,-73.84642,Shared room,45,1,8,2015-09-30,0.11,2,364
Manhattan,Financial District,40.70621,-74.01525,Entire home/apt,225,4,27,2019-05-25,0.31,1,169
Manhattan,Nolita,40.72172,-73.99689,Private room,100,5,61,2018-01-02,0.7,1,188
Brooklyn,Greenpoint,40.72049,-73.95221,Private room,90,2,2,2018-10-08,0.02,2,89
Queens,Briarwood,40.71068,-73.81577,Private room,75,1,16,2017-01-01,0.18,2,189
Manhattan,Harlem,40.83091,-73.94223,Entire home/apt,135,5,38,2019-05-16,0.44,1,253
Manhattan,Upper West Side,40.7824,-73.98294,Private room,125,1,25,2013-06-22,0.28,1,311
Manhattan,Harlem,40.82703,-73.94311,Private room,85,3,6,2017-09-05,0.07,1,363
Manhattan,Upper East Side,40.78521,-73.95489,Entire home/apt,200,7,30,2016-12-04,0.34,1,224
Brooklyn,South Slope,40.66106,-73.98316,Entire home/apt,250,3,17,2019-07-05,0.46,1,5
Manhattan,Upper East Side,40.76494,-73.95804,Entire home/apt,300,4,19,2019-05-21,0.22,1,84
Queens,Long Island City,40.75453,-73.93377,Entire home/apt,215,2,59,2019-07-01,0.94,1,335
Brooklyn,Williamsburg,40.71121,-73.94669,Entire home/apt,145,3,7,2016-10-22,0.08,1,270
Manhattan,East Harlem,40.79477,-73.95046,Private room,100,3,67,2019-05-28,0.76,3,345
Brooklyn,Brighton Beach,40.5781,-73.95455,Entire home/apt,75,2,8,2016-09-18,0.1,1,2
Brooklyn,Williamsburg,40.71472,-73.96225,Private room,120,6,62,2019-05-17,0.7,2,15
Manhattan,Midtown,40.75816,-73.96457,Entire home/apt,275,2,16,2019-05-09,0.24,1,167
Manhattan,Financial District,40.70537,-74.00992,Entire home/apt,160,1,36,2018-09-26,0.57,1,365
Brooklyn,Greenpoint,40.72212,-73.94389,Entire home/apt,87,6,39,2019-03-13,0.47,2,258
Manhattan,East Village,40.72978,-73.9793,Private room,125,3,28,2019-06-25,0.33,1,364
Brooklyn,Crown Heights,40.67436,-73.956,Private room,55,2,62,2019-05-11,0.71,2,57
Manhattan,Washington Heights,40.83451,-73.93885,Entire home/apt,275,3,50,2019-06-30,0.87,2,277
Brooklyn,Prospect Heights,40.67763,-73.97185,Entire home/apt,125,4,41,2019-05-20,0.47,1,10
Brooklyn,East New York,40.65408,-73.87883,Entire home/apt,70,4,40,2019-06-17,0.46,1,273
Manhattan,Upper East Side,40.77548,-73.95183,Private room,145,5,2,2017-10-03,0.09,1,365
